cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
肯塔维厄斯 卡德维尔-波普,1.5,0.2,3.2,10.0,0.4,2.8,2.167,1.6669999999999998,0.615,6,3,161,26.8,1.0,68,11.3,4.2,0.8,1.6669999999999998,0.345,1.5
麦克-康利,3.8,0.0,1.0,9.25,0.4,2.5,3.75,1.0,1.0,4,4,93,23.3,0.3,45,11.3,1.3,0.5,1.0,0.267,2.0
穆罕默德-班巴,0.2,1.8,3.7,7.0,0.6,2.2,2.333,1.5,0.5710000000000001,6,2,105,17.5,1.2,67,11.2,4.8,0.3,1.5,0.5,0.5
巴姆-阿德巴约,2.6,1.6,7.4,7.8,0.5,3.0,3.8,0.0,0.8420000000000001,5,5,118,23.6,2.2,56,11.2,9.6,0.6,0.0,0.0,1.8
尼科拉-武切维奇,2.0,0.5,4.5,10.25,0.5,2.3,2.5,0.25,0.5,4,4,85,21.3,1.3,44,11.0,5.8,0.5,0.25,0.16699999999999998,2.3
道格-迈克德莫特,0.5,0.3,1.5,8.75,0.5,1.8,1.0,2.25,0.75,4,0,64,16.0,0.3,44,11.0,1.8,0.3,2.25,0.5,0.8
迈尔斯-特纳,2.3,3.8,4.5,8.25,0.5,2.0,1.75,1.0,0.857,4,4,95,23.8,1.8,44,11.0,6.3,1.3,1.0,0.5,1.8
哈里森-巴恩斯,2.2,0.0,2.2,7.2,0.4,0.8,3.8,0.6,1.0,5,5,128,25.6,0.2,54,10.8,2.4,0.4,0.6,0.231,0.6
马里奥-海佐尼亚,3.6,0.2,4.4,7.6,0.5,1.4,2.4,1.0,0.917,5,1,112,22.4,0.4,54,10.8,4.8,0.2,1.0,0.35700000000000004,1.6
马利克-比斯利,1.7,0.7,4.3,9.0,0.4,2.0,1.6669999999999998,1.0,1.0,3,0,58,19.3,0.0,32,10.7,4.3,1.0,1.0,0.3,1.3
凯文-诺克斯,1.0,0.0,3.7,9.667,0.4,1.3,2.0,1.6669999999999998,0.833,3,0,68,22.7,0.0,32,10.7,3.7,0.3,1.6669999999999998,0.35700000000000004,0.3
塔什-吉布森,1.3,0.0,3.7,5.332999999999999,0.6,2.7,5.0,1.0,0.6,3,0,47,15.7,1.3,32,10.7,5.0,0.0,1.0,0.6,2.0
布鲁克-洛佩兹,1.3,1.3,4.3,6.75,0.6,3.3,1.0,1.75,0.75,4,4,90,22.5,0.0,42,10.5,4.3,0.5,1.75,0.41200000000000003,3.0
Tremont Waters,4.0,0.3,1.0,8.25,0.5,1.0,1.0,1.0,0.5,4,0,65,16.3,0.5,42,10.5,1.5,1.5,1.0,0.308,1.8
OG-阿奴诺比,2.0,0.0,2.8,8.0,0.5,2.3,2.0,1.5,0.75,4,4,96,24.0,0.5,42,10.5,3.3,1.5,1.5,0.462,2.0
斯宾瑟-丁威迪,5.5,0.0,4.0,10.25,0.3,1.8,3.75,1.75,0.733,4,2,87,21.8,0.8,42,10.5,4.8,1.0,1.75,0.33299999999999996,2.3
德拉甘-本德尔,2.0,1.4,3.4,5.6,0.6,3.2,2.6,1.4,0.846,5,0,75,15.0,1.4,52,10.4,4.8,0.0,1.4,0.5379999999999999,0.6
沙巴兹-内皮尔,3.8,0.0,2.2,7.8,0.4,1.2,4.2,1.2,0.857,5,0,90,18.0,1.2,52,10.4,3.4,1.2,1.2,0.261,1.0
约翰-科林斯,0.8,1.0,5.8,10.0,0.4,1.8,3.75,0.75,0.5329999999999999,4,4,102,25.5,1.8,41,10.3,7.5,0.8,0.75,0.25,3.0
阿伦佐-特里尔,1.3,0.0,0.7,7.0,0.4,1.3,4.0,1.0,0.833,3,0,48,16.0,0.0,31,10.3,0.7,1.0,1.0,0.3,2.0
贾里尔-奥卡福,1.5,0.3,2.8,5.0,0.7,2.3,4.75,0.0,0.684,4,1,62,15.5,2.0,41,10.3,4.8,0.3,0.0,0.0,1.8
Devontae Cacok,0.8,0.3,3.0,7.167000000000001,0.6,3.0,3.0,0.0,0.556,6,1,123,20.5,2.2,62,10.3,5.2,0.5,0.0,0.0,0.8
Rui Hachimura,1.3,0.5,3.3,9.25,0.4,2.5,4.0,1.0,0.43799999999999994,4,4,88,22.0,3.3,41,10.3,6.5,0.8,1.0,0.444,1.8
DeAndre Hunter,2.4,0.2,2.2,8.0,0.5,2.2,1.6,1.4,0.5,5,4,115,23.0,0.0,51,10.2,2.2,0.4,1.4,0.389,1.4
罗德尼-麦格鲁德,2.0,0.0,2.5,8.0,0.4,3.5,3.0,1.0,0.667,2,0,37,18.5,0.0,20,10.0,2.5,1.5,1.0,0.25,0.0
杰克-雷曼,1.8,0.8,3.4,7.8,0.5,1.2,2.2,1.4,0.636,5,3,101,20.2,0.4,50,10.0,3.8,0.4,1.4,0.292,1.2
多特-迪万斯索,2.6,0.2,3.6,9.4,0.4,1.8,2.2,1.0,0.818,5,0,104,20.8,1.0,50,10.0,4.6,1.2,1.0,0.22699999999999998,2.6
伊曼纽尔-穆迪埃,3.0,0.0,2.0,7.0,0.6,0.5,1.5,0.5,0.33299999999999996,2,0,38,19.0,0.0,20,10.0,2.0,0.0,0.5,0.33299999999999996,2.5
科怀-莱昂纳德,4.0,0.0,1.5,12.5,0.3,2.0,1.0,1.5,0.5,2,2,33,16.5,0.5,20,10.0,2.0,2.5,1.5,0.273,1.0
泰鲁斯-琼斯,4.4,0.0,1.8,8.4,0.5,1.0,1.8,0.6,0.778,5,1,109,21.8,0.2,50,10.0,2.0,0.8,0.6,0.5,2.0
马可-贝里内利,1.0,0.0,1.5,7.5,0.4,1.0,3.25,1.25,0.846,4,0,71,17.8,0.0,40,10.0,1.5,1.0,1.25,0.35700000000000004,1.0
布雷克-格里芬,4.0,0.0,1.5,8.0,0.4,1.5,3.0,1.5,0.5,2,2,41,20.5,1.0,20,10.0,2.5,0.0,1.5,0.33299999999999996,4.0
杰拉德-格林,0.7,1.0,2.0,5.667000000000001,0.6,2.0,1.3330000000000002,2.0,1.0,3,0,44,14.7,0.3,30,10.0,2.3,0.7,2.0,0.462,0.3
贾斯汀-安德森,1.8,0.0,2.3,7.25,0.4,0.5,2.0,2.5,0.625,4,1,63,15.8,0.0,39,9.8,2.3,1.0,2.5,0.385,1.5
帕蒂-米尔斯,3.0,0.0,2.8,8.0,0.5,1.8,1.5,1.5,0.5,4,0,73,18.3,0.0,39,9.8,2.8,0.5,1.5,0.429,1.8
贾马尔-穆雷,4.0,0.3,2.8,9.25,0.4,2.0,2.75,0.5,0.818,4,4,90,22.5,0.8,39,9.8,3.5,1.0,0.5,0.222,2.0
杰罗姆-鲁滨逊,4.6,0.0,3.2,10.4,0.3,2.6,1.6,1.6,0.625,5,2,129,25.8,0.6,49,9.8,3.8,0.8,1.6,0.308,1.8
Brandon Clarke,1.5,0.3,7.0,7.25,0.6,0.5,2.25,0.0,0.778,4,4,79,19.8,2.8,39,9.8,9.8,0.5,0.0,0.0,1.0
Cameron Johnson,0.3,0.3,3.0,7.75,0.4,1.0,1.0,2.25,1.0,4,2,97,24.3,0.3,39,9.8,3.3,0.5,2.25,0.45,0.8
蒙特-莫里斯,2.5,0.0,1.3,7.5,0.5,0.8,2.25,1.0,0.556,4,0,69,17.3,0.0,39,9.8,1.3,0.3,1.0,0.444,0.8
