cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
福尔康-科尔克马兹,1.3,0.3,1.5,4.5,0.3,1.3,1.25,0.75,0.8,4,0,36,9.0,0.0,19,4.8,1.5,0.0,0.75,0.375,0.3
哈里-托马斯,0.0,0.0,0.7,4.0,0.5,0.0,0.33299999999999996,0.33299999999999996,1.0,3,0,15,5.0,0.0,14,4.7,0.7,0.7,0.33299999999999996,0.25,0.0
梅森-普拉姆利,1.5,0.7,2.6,3.3569999999999998,0.5,2.8,2.0,0.0,0.5710000000000001,14,0,218,15.6,1.9,64,4.6,4.4,0.5,0.0,0.0,0.6
格雷森-艾伦,0.0,0.0,0.5,3.5,0.3,0.0,3.5,0.0,0.7140000000000001,2,0,14,7.0,0.0,9,4.5,0.5,0.0,0.0,0.0,0.0
乔治-尼昂,1.0,0.2,2.8,4.4,0.4,1.0,0.0,0.8,0.0,5,0,55,11.0,0.0,22,4.4,2.8,0.2,0.8,0.308,0.4
格伦-罗宾逊,0.7,0.0,1.7,5.0,0.3,1.7,1.3330000000000002,0.33299999999999996,1.0,3,0,36,12.0,0.7,13,4.3,2.3,0.7,0.33299999999999996,0.125,0.3
奎因-库克,0.7,0.1,0.9,4.118,0.4,0.8,0.235,0.647,1.0,17,0,193,11.4,0.1,71,4.2,1.1,0.2,0.647,0.324,0.4
斯特尔林-K-布朗,1.7,0.3,2.4,3.455,0.4,1.5,1.0,0.636,0.727,11,5,162,14.7,0.4,45,4.1,2.7,0.5,0.636,0.33299999999999996,0.7
肖恩-利文斯顿,1.4,0.2,0.9,3.409,0.5,1.6,1.136,0.0,0.84,22,2,322,14.6,0.5,89,4.0,1.4,0.5,0.0,0.0,0.4
肯尼斯-法里德,0.3,0.0,3.0,2.167,0.7,1.0,1.0,0.16699999999999998,0.833,6,0,56,9.3,0.5,24,4.0,3.5,0.3,0.16699999999999998,1.0,0.0
格雷格-门罗,0.4,0.3,1.7,4.0,0.4,1.1,0.9,0.1,0.778,10,1,90,9.0,1.4,40,4.0,3.1,0.5,0.1,0.25,0.4
内内,0.4,0.3,0.7,1.429,1.0,1.0,1.286,0.0,0.778,7,0,53,7.6,1.3,27,3.9,2.0,0.4,0.0,0.0,0.4
马基夫-莫里斯,1.0,0.6,1.8,3.2,0.3,1.8,1.8,0.4,0.778,5,0,59,11.8,0.8,19,3.8,2.6,0.2,0.4,0.28600000000000003,0.4
威尔森-钱德勒,0.5,0.0,1.5,4.0,0.3,1.8,1.0,0.25,1.0,4,0,52,13.0,0.0,15,3.8,1.5,0.5,0.25,0.1,0.8
伊曼-香珀特,0.3,0.0,1.4,3.25,0.4,1.3,0.5,1.0,0.25,8,0,109,13.6,0.1,29,3.6,1.5,0.1,1.0,0.364,0.4
杰罗姆-鲁滨逊,1.4,0.0,0.8,2.8,0.4,0.8,1.0,0.6,1.0,5,0,46,9.2,0.4,18,3.6,1.2,0.4,0.6,0.5,0.2
乔纳森-西蒙斯,0.3,0.0,1.0,4.2860000000000005,0.3,0.3,0.5710000000000001,0.28600000000000003,0.75,7,0,52,7.4,0.3,25,3.6,1.3,0.1,0.28600000000000003,0.2,0.9
马库斯-斯马特,2.0,0.0,0.0,5.5,0.1,1.5,3.0,0.5,0.667,2,0,32,16.0,2.0,7,3.5,2.0,1.5,0.5,0.091,1.5
杰拉德-格林,0.1,0.3,1.1,3.636,0.3,1.1,0.455,0.909,1.0,11,0,97,8.8,0.0,39,3.5,1.1,0.3,0.909,0.345,0.3
贾雷尔-马丁,0.3,0.3,0.3,3.0,0.4,0.3,0.667,0.667,0.0,3,0,18,6.0,0.3,10,3.3,0.7,0.0,0.667,0.28600000000000003,0.0
布鲁斯-布朗,0.5,0.3,1.8,3.5,0.4,2.0,0.5,0.25,1.0,4,2,57,14.3,0.3,13,3.3,2.0,0.5,0.25,0.2,0.5
戴维斯-贝尔坦斯,1.0,0.2,1.6,3.0,0.3,2.0,1.0,0.6,0.6,5,0,79,15.8,0.0,16,3.2,1.6,0.0,0.6,0.273,0.2
西奥-平森,1.0,0.0,1.0,2.667,0.4,0.0,0.0,1.0,0.0,3,0,22,7.3,0.0,9,3.0,1.0,0.7,1.0,0.429,0.3
贾里德-杜德里,2.8,0.3,0.5,2.75,0.3,2.5,1.0,0.5,1.0,4,2,82,20.5,0.0,12,3.0,0.5,0.8,0.5,0.222,1.0
阿方索-麦金尼,0.2,0.0,1.5,2.682,0.4,1.5,0.455,0.455,0.4,22,1,235,10.7,0.8,66,3.0,2.3,0.1,0.455,0.313,0.3
乔丹-贝尔,0.7,0.5,0.8,2.0669999999999997,0.5,0.9,0.667,0.0,0.7,15,2,106,7.1,0.5,41,2.7,1.3,0.3,0.0,0.0,0.1
埃文-特纳,2.2,0.2,3.7,2.875,0.3,1.4,0.938,0.063,0.8,16,0,245,15.3,0.8,43,2.7,4.5,0.2,0.063,1.0,0.8
T.J. 麦康奈尔,1.2,0.1,0.6,3.0,0.4,0.4,0.0,0.0,0.0,9,0,75,8.3,0.1,24,2.7,0.7,0.2,0.0,0.0,0.1
